WKT;Latitude;Longitude;1;2;3;4;5;6;7;8
POINT (-73.4926215 45.6975764);-73.4926215;45.6975764;1;1;0;0;0;0;0;0
POINT (-73.6567298 45.5721233);-73.6567298;45.5721233;1;0;0;0;0;0;0;1
POINT (-73.4934238 45.637748);-73.4934238;45.637748;1;1;0;0;0;0;0;0
POINT (-73.5676794 45.6318272);-73.5676794;45.6318272;1;1;0;0;0;0;0;0
POINT (-73.6026446 45.6063736);-73.6026446;45.6063736;0;1;1;0;0;0;0;0
POINT (-73.5453097 45.5946034);-73.5453097;45.5946034;0;1;1;1;0;0;0;0
POINT (-73.6265176 45.5824558);-73.6265176;45.5824558;0;1;1;0;0;0;0;0
POINT (-73.5578386 45.5610327);-73.5578386;45.5610327;0;0;1;1;0;0;0;0
POINT (-73.5398856 45.5404873);-73.5398856;45.5404873;0;0;0;1;0;0;0;0
POINT (-73.5567485 45.5467637);-73.5567485;45.5467637;0;0;0;1;1;0;0;0
POINT (-73.5302725 45.6032137);-73.5302725;45.6032137;0;0;0;1;1;0;0;0
POINT (-73.5139781 45.6013093);-73.5139781;45.6013093;0;0;0;0;0;0;0;0
POINT (-73.7078307 45.5358104);-73.7078307;45.5358104;0;0;0;0;0;0;1;1
POINT (-73.6646704 45.5129619);-73.6646704;45.5129619;0;0;0;0;0;0;1;1
POINT (-73.6220984 45.5564905);-73.6220984;45.5564905;0;0;0;0;0;0;0;1
POINT (-73.5869746 45.5177162);-73.5869746;45.5177162;0;0;0;0;1;0;0;0
POINT (-73.6045723 45.4795732);-73.6045723;45.4795732;0;0;0;0;0;1;0;0
POINT (-73.6489939 45.4441463);-73.6489939;45.4441463;0;0;0;0;0;0;0;0
POINT (-73.5509297 45.5132164);-73.5509297;45.5132164;0;0;0;0;1;1;0;0
POINT (-73.5664229 45.4675282);-73.5664229;45.4675282;0;0;0;0;0;1;0;0
POINT (-73.6193351 45.4280344);-73.6193351;45.4280344;0;0;0;0;0;1;0;0
POINT (-73.7014841 45.4737955);-73.7014841;45.4737955;0;0;0;0;0;0;1;0
POINT (-73.7490999 45.5015535);-73.7490999;45.5015535;0;0;0;0;0;0;1;0
POINT (-73.6307166 45.6165723);-73.6307166;45.6165723;1;0;0;0;0;0;0;0
POINT (-73.561534 45.662951);-73.561534;45.662951;1;0;0;0;0;0;0;0
